train/loss_total_step,dice_step,ppv_step,iou_step,epoch,step,val/loss_total_step,val/loss_total_epoch,dice_epoch,ppv_epoch,iou_epoch,val_loss,val_dice,val_ppv_pixels,val_IoU,val_ppv_clusters,train/loss_total_epoch,train_loss,train_dice,train_ppv_pixels,train_IoU,train_ppv_clusters
2.9944941997528076,0.7179387733340263,0.08625669777393341,0.05719987489283085,0,49,,,,,,,,,,,,,,,,
,0.18090902268886566,0.17969633638858795,0.14173780381679535,,0,3.3184475898742676,,,,,,,,,,,,,,,
,4.659492186172252e-19,0.0,0.0,,1,3.786571741104126,,,,,,,,,,,,,,,
,0.19792711734771729,0.18048781156539917,0.16380742192268372,,2,3.3152992725372314,,,,,,,,,,,,,,,
,0.14456619415432215,0.0996035747230053,0.09576955763623118,,3,2.8054614067077637,,,,,,,,,,,,,,,
,0.15466448664665222,0.12250453978776932,0.1119668260216713,,4,3.150667905807495,,,,,,,,,,,,,,,
,0.07901596277952194,0.04722492769360542,0.04692337289452553,,5,2.5933690071105957,,,,,,,,,,,,,,,
,9.418590262845614e-19,0.0,0.0,,6,2.731210708618164,,,,,,,,,,,,,,,
,0.17361940816044807,0.12468752078711987,0.11400775238871574,,7,2.615480661392212,,,,,,,,,,,,,,,
,0.0810236930847168,0.10898977518081665,0.048346225172281265,,8,3.3880021572113037,,,,,,,,,,,,,,,
,0.0408402755856514,0.0222591795027256,0.022236421704292297,,9,3.073582887649536,,,,,,,,,,,,,,,
,0.019885320216417316,0.25,0.010354463011026382,,10,2.9187874794006348,,,,,,,,,,,,,,,
,0.1515072623733431,0.11095926769485231,0.10560365323908627,,11,2.6142640113830566,,,,,,,,,,,,,,,
,0.0019159619696438315,0.0018349784659221768,0.0009616659954190254,,12,3.0019571781158447,,,,,,,,,,,,,,,
,1.0314990770773757e-18,0.0,0.0,,13,2.7631659507751465,,,,,,,,,,,,,,,
,0.37964003533124924,0.27982055209577084,0.252107291482389,,14,2.5203137397766113,,,,,,,,,,,,,,,
,0.2324041798710823,0.29051175341010094,0.1598416455090046,,15,2.560643434524536,,,,,,,,,,,,,,,
